"team_id","player_id","player_seq_nbr","team_nm","maint_dtm","maint_app","create_dtm","create_app"
T22,P33,2,Jimbo Peterson & David McNally,2022-08-30 21:55:18.185 -0400,postgres,2022-08-30 21:55:18.185 -0400,postgres
T23,P34,1,Ross Whittaker & Grant Johnston,2022-08-30 21:55:18.185 -0400,postgres,2022-08-30 21:55:18.185 -0400,postgres
T23,P35,2,Ross Whittaker & Grant Johnston,2022-08-30 21:55:18.187 -0400,postgres,2022-08-30 21:55:18.187 -0400,postgres
T24,P33,1,David McNally & Harsh Pareek,2022-09-09 13:20:52.862 -0400,postgres,2022-09-09 13:20:52.862 -0400,postgres
T24,P36,2,David McNally & Harsh Pareek,2022-09-09 13:20:52.877 -0400,postgres,2022-09-09 13:20:52.877 -0400,postgres
T25,P37,1,Paul Olin & Dave Fleming,2022-09-11 15:28:43.005 -0400,postgres,2022-09-11 15:28:43.005 -0400,postgres
T25,P38,2,Paul Olin & Dave Fleming,2022-09-11 15:28:43.011 -0400,postgres,2022-09-11 15:28:43.011 -0400,postgres
T26,P39,1,Chris Mills Miller & John Sperling,2022-09-11 15:28:43.011 -0400,postgres,2022-09-11 15:28:43.011 -0400,postgres
T26,P40,2,Chris Mills Miller & John Sperling,2022-09-11 15:28:43.013 -0400,postgres,2022-09-11 15:28:43.013 -0400,postgres
T27,P32,1,Jimbo Peterson & Joel Phillips,2022-09-11 15:40:31.485 -0400,postgres,2022-09-11 15:40:31.485 -0400,postgres
T27,P41,2,Jimbo Peterson & Joel Phillips,2022-09-11 15:40:31.489 -0400,postgres,2022-09-11 15:40:31.489 -0400,postgres
T28,P42,1,Chandra Soucek & Katherine Gillis,2022-09-22 23:01:15.368 -0400,postgres,2022-09-22 23:01:15.368 -0400,postgres
T28,P43,2,Chandra Soucek & Katherine Gillis,2022-09-22 23:01:15.374 -0400,postgres,2022-09-22 23:01:15.374 -0400,postgres
T29,P44,1,Sara Maher & Emer Daly,2022-09-22 23:01:15.374 -0400,postgres,2022-09-22 23:01:15.374 -0400,postgres
T29,P45,2,Sara Maher & Emer Daly,2022-09-22 23:01:15.376 -0400,postgres,2022-09-22 23:01:15.376 -0400,postgres
T30,P46,1,Monica Paolicelli & Alix Truong,2022-09-22 23:03:50.044 -0400,postgres,2022-09-22 23:03:50.044 -0400,postgres
T30,P47,2,Monica Paolicelli & Alix Truong,2022-09-22 23:03:50.051 -0400,postgres,2022-09-22 23:03:50.051 -0400,postgres
T31,P48,1,Vivian David & Lauren Stratman,2022-09-22 23:03:50.051 -0400,postgres,2022-09-22 23:03:50.051 -0400,postgres
T31,P28,2,Vivian David & Lauren Stratman,2022-09-22 23:03:50.053 -0400,postgres,2022-09-22 23:03:50.053 -0400,postgres
T32,P49,1,Jon Smet & Alex Spancake,2022-09-24 23:10:40.128 -0400,postgres,2022-09-24 23:10:40.128 -0400,postgres
T32,P50,2,Jon Smet & Alex Spancake,2022-09-24 23:10:40.141 -0400,postgres,2022-09-24 23:10:40.141 -0400,postgres
T33,P51,1,Mark Cunningham & Carter Wittendorf,2022-09-24 23:10:40.142 -0400,postgres,2022-09-24 23:10:40.142 -0400,postgres
T33,P52,2,Mark Cunningham & Carter Wittendorf,2022-09-24 23:10:40.144 -0400,postgres,2022-09-24 23:10:40.144 -0400,postgres
T34,P23,1,Collin Johns & Dekel Bar,2022-10-03 23:31:19.601 -0400,postgres,2022-10-03 23:31:19.601 -0400,postgres
T34,P53,2,Collin Johns & Dekel Bar,2022-10-03 23:31:19.605 -0400,postgres,2022-10-03 23:31:19.605 -0400,postgres
T35,P54,1,Jay Devilliers & Patrick Smith,2022-10-03 23:31:19.605 -0400,postgres,2022-10-03 23:31:19.605 -0400,postgres
T35,P55,2,Jay Devilliers & Patrick Smith,2022-10-03 23:31:19.607 -0400,postgres,2022-10-03 23:31:19.607 -0400,postgres
T36,P33,1,David McNally & Max Sinthorntham,2022-10-04 22:00:45.398 -0400,postgres,2022-10-04 22:00:45.398 -0400,postgres
T36,P56,2,David McNally & Max Sinthorntham,2022-10-04 22:00:45.401 -0400,postgres,2022-10-04 22:00:45.401 -0400,postgres
T37,P57,1,Ross Weinberg & Guarav Sethi,2022-10-04 22:00:45.401 -0400,postgres,2022-10-04 22:00:45.401 -0400,postgres
T37,P58,2,Ross Weinberg & Guarav Sethi,2022-10-04 22:00:45.403 -0400,postgres,2022-10-04 22:00:45.403 -0400,postgres
T38,P59,1,Mike Strain & Payton Noyes,2022-10-16 15:22:34.935 -0400,postgres,2022-10-16 15:22:34.935 -0400,postgres
T38,P60,2,Mike Strain & Payton Noyes,2022-10-16 15:22:34.945 -0400,postgres,2022-10-16 15:22:34.945 -0400,postgres
T39,P61,1,Gizmo Hall & David McNally,2022-10-20 18:42:52.072 -0400,postgres,2022-10-20 18:42:52.072 -0400,postgres
T39,P33,2,Gizmo Hall & David McNally,2022-10-20 18:42:52.078 -0400,postgres,2022-10-20 18:42:52.078 -0400,postgres
T40,P62,1,Ryan Kane & Brandon Ward,2022-10-20 18:42:52.078 -0400,postgres,2022-10-20 18:42:52.078 -0400,postgres
T40,P63,2,Ryan Kane & Brandon Ward,2022-10-20 18:42:52.079 -0400,postgres,2022-10-20 18:42:52.079 -0400,postgres
