game_id,skill_lvl,to_nbr,to_team,game_nbr,prewin,postwin,deltawin,prewinsrv,postwinsrv,deltawinsrv,prewinrcv,postwinrcv,deltawinrcv
123,4.0,2,T89,41,31.2,42.9,11.7,0.0,11.1,11.1,45.5,66.7,21.2
443,5.0,1,T374,15,50.0,61.9,11.9,50.0,45.5,-4.5,50.0,80.0,30.0
249,Pro,1,T208,24,34.8,46.7,11.9,22.2,42.9,20.7,42.9,50.0,7.1
324,4.0,1,T284,21,35.0,47.1,12.1,25.0,37.5,12.5,41.7,55.6,13.9
214,Pro,1,T7,17,37.5,50.0,12.5,0.0,50.0,50.0,60.0,50.0,-10.0
175,Pro,2,T132,32,37.5,50.0,12.5,0.0,33.3,33.3,50.0,66.7,16.7
676,3.5,4,T523,47,25.0,37.5,12.5,0.0,0.0,0.0,33.3,75.0,41.7
15,Pro,2,T8,35,47.1,60.0,12.9,25.0,20.0,-5.0,66.7,100.0,33.3
213,5.0,1,T157,13,33.3,46.4,13.1,20.0,33.3,13.3,42.9,56.2,13.3
470,Pro,3,T67,61,28.6,41.7,13.1,0.0,20.0,20.0,40.0,57.1,17.1
95,Pro,2,T71,28,28.6,42.9,14.3,50.0,33.3,-16.7,20.0,50.0,30.0
209,5.0,1,T152,20,47.4,61.9,14.5,33.3,61.5,28.2,60.0,62.5,2.5
6,Pro,1,T2,26,52.0,66.7,14.7,50.0,50.0,0.0,54.5,80.0,25.5
110,Pro,1,T73,27,42.3,57.1,14.8,58.3,50.0,-8.3,28.6,66.7,38.1
401,Pro,2,T350,28,25.0,40.0,15.0,0.0,33.3,33.3,33.3,50.0,16.7
106,Pro,1,T77,18,41.2,56.2,15.0,42.9,55.6,12.7,40.0,57.1,17.1
2,Pro,2,T1,40,51.6,66.7,15.1,35.3,0.0,-35.3,71.4,100.0,28.6
158,Pro,1,T108,10,22.2,37.5,15.3,0.0,33.3,33.3,28.6,40.0,11.4
146,Pro,2,T65,42,42.9,58.3,15.4,20.0,33.3,13.3,63.6,83.3,19.7
89,Pro,1,T67,12,36.4,51.9,15.5,50.0,42.9,-7.1,28.6,61.5,32.9
444,5.0,1,T373,16,40.0,55.6,15.6,33.3,55.6,22.3,44.4,55.6,11.2
594,5.0,1,T461,12,27.3,42.9,15.6,25.0,33.3,8.3,28.6,50.0,21.4
187,Pro,1,T65,21,40.0,55.6,15.6,22.2,75.0,52.8,54.5,40.0,-14.5
676,3.5,1,T522,23,45.5,61.5,16.0,40.0,71.4,31.4,50.0,50.0,0.0
248,Pro,1,T198,32,41.9,57.9,16.0,38.5,45.5,7.0,44.4,75.0,30.6
189,Pro,1,T142,13,25.0,41.2,16.2,0.0,42.9,42.9,37.5,40.0,2.5
163,Pro,1,T116,23,40.9,57.1,16.2,22.2,66.7,44.5,53.8,44.4,-9.4
125,Pro,2,T65,46,46.2,62.5,16.3,50.0,50.0,0.0,42.9,75.0,32.1
159,Pro,3,T108,24,16.7,33.3,16.6,0.0,0.0,0.0,25.0,50.0,25.0
255,Pro,1,T214,31,43.3,60.0,16.7,35.7,40.0,4.3,50.0,80.0,30.0
301,4.5,1,T255,19,33.3,50.0,16.7,33.3,60.0,26.7,33.3,40.0,6.7
619,5.5,1,T472,33,50.0,66.7,16.7,58.8,50.0,-8.8,40.0,80.0,40.0
102,Pro,2,T77,24,37.5,54.2,16.7,0.0,38.5,38.5,50.0,72.7,22.7
76,5.0,1,T60,37,58.3,75.0,16.7,45.5,100.0,54.5,78.6,66.7,-11.9
2,Pro,3,T2,44,33.3,50.0,16.7,0.0,33.3,33.3,100.0,75.0,-25.0
177,Pro,1,T133,36,45.7,62.5,16.8,29.4,100.0,70.6,61.1,40.0,-21.1
306,5.0,1,T264,15,28.6,45.5,16.9,0.0,75.0,75.0,44.4,28.6,-15.8
179,Pro,1,T134,29,42.9,60.0,17.1,41.7,66.7,25.0,43.8,50.0,6.2
672,3.5,1,T523,30,44.8,62.5,17.7,38.5,50.0,11.5,50.0,83.3,33.3
107,4.5,2,T78,44,57.1,75.0,17.9,40.0,50.0,10.0,100.0,100.0,0.0
216,Pro,1,T161,44,48.8,66.7,17.9,47.6,45.5,-2.1,50.0,100.0,50.0
169,4.5,1,T122,30,62.1,80.0,17.9,50.0,66.7,16.7,81.8,100.0,18.2
168,Pro,1,T119,36,48.6,66.7,18.1,50.0,57.1,7.1,47.1,80.0,32.9
243,5.0,1,T185,40,46.2,64.3,18.1,27.8,50.0,22.2,61.9,83.3,21.4
245,Pro,1,T203,23,31.8,50.0,18.2,25.0,57.1,32.1,35.7,42.9,7.2
4,Pro,1,T2,22,42.9,61.1,18.2,22.2,36.4,14.2,58.3,100.0,41.7
4,Pro,2,T3,41,38.9,57.1,18.2,0.0,42.9,42.9,63.6,71.4,7.8
142,Pro,1,T107,9,12.5,30.8,18.3,0.0,0.0,0.0,14.3,44.4,30.1
106,Pro,2,T77,35,56.2,75.0,18.8,55.6,60.0,4.4,57.1,100.0,42.9
20,Pro,1,T18,31,36.7,55.6,18.9,16.7,52.6,35.9,50.0,58.8,8.8
77,5.0,1,T60,18,58.8,77.8,19.0,40.0,83.3,43.3,85.7,66.7,-19.0
28,Pro,1,T25,37,44.4,63.6,19.2,18.8,71.4,52.6,65.0,50.0,-15.0
53,Pro,1,T13,22,38.1,57.4,19.3,33.3,42.3,9.0,41.7,76.2,34.5
172,5.0,1,T127,41,45.0,64.7,19.7,44.4,40.0,-4.4,45.5,100.0,54.5
565,4.5,1,T397,13,33.3,53.1,19.8,50.0,37.5,-12.5,25.0,68.8,43.8
2,Pro,1,T2,8,28.6,48.4,19.8,50.0,28.6,-21.4,20.0,64.7,44.7
255,Pro,2,T193,42,40.0,60.0,20.0,20.0,40.0,20.0,60.0,80.0,20.0
39,5.0,2,T38,50,46.3,66.7,20.4,30.0,100.0,70.0,61.9,50.0,-11.9
286,Pro,1,T245,13,33.3,53.8,20.5,25.0,66.7,41.7,37.5,42.9,5.4
19,Pro,3,T15,42,33.3,53.8,20.5,33.3,42.9,9.6,33.3,66.7,33.4
